N,t
1467,0.045438
1468,0.045608
1469,0.045078
1470,0.044746
1471,0.045677
1472,0.045437
1473,0.045904
1474,0.045666
1475,0.045419
1476,0.045869
1477,0.046217
1478,0.046251
1479,0.044827
1480,0.044707
1481,0.045099
1482,0.044516
1483,0.044261
1484,0.04484
1485,0.044791
1486,0.04521
1487,0.04505
1488,0.045056
1489,0.045295
1490,0.045219
1491,0.045181
1492,0.045315
1493,0.045641
1494,0.04581
1495,0.04557
1496,0.045602
1497,0.048668
1498,0.046719
1499,0.046466
1500,0.04726
1501,0.046498
1502,0.046375
1503,0.046218
1504,0.04668
1505,0.045819
1506,0.046584
1507,0.046577
1508,0.048934
1509,0.046743
1510,0.046583
1511,0.046703
1512,0.046367
1513,0.046125
1514,0.047499
1515,0.046979
1516,0.047151
1517,0.0469
1518,0.047265
1519,0.047071
1520,0.048283
1521,0.048596
1522,0.050606
1523,0.050499
1524,0.050084
1525,0.049738
1526,0.051026
1527,0.050875
1528,0.048721
1529,0.048375
1530,0.048327
1531,0.048395
1532,0.047995
1533,0.048105
1534,0.047647
1535,0.048832
1536,0.048398
1537,0.048759
1538,0.0483
1539,0.050321
1540,0.051065
1541,0.050427
1542,0.049598
1543,0.048124
1544,0.048351
1545,0.048299
1546,0.048772
1547,0.049019
1548,0.049266
1549,0.048568
1550,0.048443
1551,0.048695
1552,0.048797
1553,0.048438
1554,0.048852
1555,0.048664
1556,0.049005
1557,0.049038
1558,0.048857
1559,0.048898
1560,0.049195
1561,0.049395
1562,0.049202
1563,0.048836
1564,0.049393
1565,0.049469
1566,0.049954
1567,0.049594
1568,0.050062
1569,0.049909
1570,0.049987
1571,0.050139
1572,0.049983
1573,0.050381
1574,0.050513
1575,0.051057
1576,0.050455
1577,0.050276
1578,0.051317
1579,0.051248
1580,0.052581
1581,0.055793
1582,0.052351
1583,0.052121
1584,0.051412
1585,0.051187
1586,0.050604
1587,0.050983
1588,0.05159
1589,0.052091
1590,0.051823
1591,0.051759
1592,0.051537
1593,0.052126
1594,0.052167
1595,0.051417
1596,0.051315
1597,0.051865
1598,0.051647
1599,0.051837
1600,0.052231
1601,0.052897
1602,0.052519
1603,0.052977
1604,0.052455
1605,0.052582
1606,0.052722
1607,0.052907
1608,0.052248
1609,0.052393
1610,0.052434
1611,0.052348
1612,0.052327
1613,0.052499
1614,0.052557
1615,0.05275
1616,0.05295
1617,0.052904
1618,0.05283
1619,0.055133
1620,0.056324
1621,0.053918
1622,0.054622
1623,0.055677
1624,0.056886
1625,0.053615
1626,0.053998
1627,0.053103
1628,0.053548
1629,0.053333
1630,0.05351
1631,0.053845
1632,0.053798
1633,0.053991
1634,0.053962
1635,0.053998
1636,0.05374
1637,0.054699
1638,0.055103
1639,0.055115
1640,0.054965
1641,0.055084
1642,0.054386
1643,0.054413
1644,0.05486
1645,0.055051
1646,0.055747
1647,0.055047
1648,0.054956
1649,0.055129
1650,0.055516
1651,0.055624
1652,0.054939
1653,0.05494
1654,0.055209
1655,0.055595
1656,0.056269
1657,0.059257
1658,0.057737
1659,0.056696
1660,0.055524
1661,0.055296
1662,0.055642
1663,0.055846
1664,0.055967
1665,0.058817
1666,0.056838
1667,0.05638
1668,0.056291
1669,0.055958
1670,0.055801
1671,0.056105
1672,0.056695
1673,0.056974
1674,0.057631
1675,0.057163
1676,0.056686
1677,0.056927
1678,0.056663
1679,0.056815
1680,0.056757
1681,0.057283
1682,0.057058
1683,0.057149
1684,0.057424
1685,0.057263
1686,0.057197
1687,0.057469
1688,0.057427
1689,0.057421
1690,0.057772
1691,0.058137
1692,0.060025
1693,0.060179
1694,0.059584
1695,0.058758
1696,0.058099
1697,0.058078
1698,0.05801
1699,0.058071
1700,0.058073
1701,0.057988
1702,0.057966
1703,0.058453
1704,0.058732
1705,0.058734
1706,0.058493
1707,0.058577
1708,0.058679
1709,0.058879
1710,0.058955
1711,0.058958
1712,0.059381
1713,0.059278
1714,0.059118
1715,0.059039
1716,0.059167
1717,0.05956
1718,0.0595
1719,0.0591
1720,0.059372
1721,0.059832
1722,0.05985
1723,0.059695
1724,0.061758
1725,0.063418
1726,0.064032
1727,0.069126
1728,0.065956
1729,0.066305
1730,0.06558
1731,0.065467
1732,0.062655
1733,0.062832
1734,0.062893
1735,0.062866
1736,0.060691
1737,0.060718
1738,0.061262
1739,0.06101
1740,0.061357
1741,0.062578
1742,0.062091
1743,0.06231
1744,0.061651
1745,0.061741
1746,0.061729
1747,0.062268
1748,0.06258
1749,0.062824
1750,0.062568
1751,0.061641
1752,0.061878
1753,0.061982
1754,0.061871
1755,0.061819
1756,0.062204
1757,0.062251
1758,0.062455
1759,0.065763
1760,0.067048
1761,0.064409
1762,0.062671
1763,0.062492
1764,0.062445
1765,0.06265
1766,0.063121
1767,0.063059
1768,0.063034
1769,0.063062
1770,0.06305
1771,0.063189
1772,0.063336
1773,0.063886
1774,0.063103
1775,0.063435
1776,0.063311
1777,0.06305
1778,0.063667
1779,0.063125
1780,0.06328
1781,0.062742
1782,0.063426
1783,0.073705
1784,0.072355
1785,0.078968
1786,0.073037
1787,0.075351
1788,0.080036
1789,0.076035
1790,0.073096
1791,0.071741
1792,0.072387
1793,0.081519
1794,0.082156
1795,0.080494
1796,0.074212
1797,0.067884
1798,0.06747
1799,0.066733
1800,0.066801
1801,0.069227
1802,0.073962
1803,0.07371
1804,0.073548
1805,0.073629
1806,0.074252
1807,0.067787
1808,0.067058
1809,0.067109
1810,0.067034
1811,0.066689
1812,0.066527
1813,0.066246
1814,0.066178
1815,0.071912
1816,0.069663
1817,0.067109
1818,0.070449
1819,0.097117
1820,0.087746
1821,0.085852
1822,0.110264
1823,0.115343
1824,0.099038
1825,0.10404
1826,0.113967
1827,0.077377
1828,0.074479
1829,0.07707
1830,0.077291
1831,0.083796
1832,0.074698
1833,0.076084
1834,0.076751
1835,0.073884
1836,0.070124
1837,0.076148
1838,0.077808
